Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,GpsDate,GPSTime,Latitude,Longitude,Speed,SpeedType,Heading,HeadingType,TrueHeading,MagneticHeading,MagneticVariation,GPSError,DataStatus
2083,2017-11-08 11:45:03.829,829,2017-11-08 11:45:03.829,2017-11-08 11:45:03.830,2017-11-08 11:44:05.000,114405000,50.339308333333335,-4.1316899999999999,4.5346368800532524,N ,162.30108523702035,T ,,,-1.7327346228979132,0,A  
2084,2017-11-08 11:45:13.830,830,2017-11-08 11:45:13.830,2017-11-08 11:45:13.832,2017-11-08 11:44:15.000,114415000,50.339111666666668,-4.1316249999999997,4.3261059835802307,N ,176.95548604424863,T ,,,-1.7326842162584901,0,A  
2085,2017-11-08 11:45:23.830,830,2017-11-08 11:45:23.830,2017-11-08 11:45:23.831,2017-11-08 11:44:25.000,114425000,50.338908333333336,-4.1316350000000002,4.3746475182965678,N ,189.06576494694053,T ,,,-1.7326599031467871,0,A  
2086,2017-11-08 11:45:34.833,833,2017-11-08 11:45:34.833,2017-11-08 11:45:34.835,2017-11-08 11:44:36.000,114436000,50.338681666666666,-4.1316816666666663,4.3746480365639755,N ,189.06580748767038,T ,,,-1.7326455910646368,0,A  
2087,2017-11-08 11:45:44.833,833,2017-11-08 11:45:44.833,2017-11-08 11:45:44.834,2017-11-08 11:44:46.000,114446000,50.338476666666665,-4.1317133333333329,4.3443730934010336,N ,186.07201243032824,T ,,,-1.7326288520701854,0,A  
2088,2017-11-08 11:45:54.833,833,2017-11-08 11:45:54.833,2017-11-08 11:45:54.835,2017-11-08 11:44:56.000,114456000,50.338271666666664,-4.1317716666666664,4.3746489740200643,N ,189.0658844359634,T ,,,-1.7326217155829722,0,A  
2089,2017-11-08 11:46:04.837,837,2017-11-08 11:46:04.837,2017-11-08 11:46:04.838,2017-11-08 11:45:06.000,114506000,50.338061666666668,-4.1318000000000001,4.3443735180817322,N ,186.07206508246105,T ,,,-1.7326030916465192,0,A  
2090,2017-11-08 11:46:15.837,837,2017-11-08 11:46:15.837,2017-11-08 11:46:15.838,2017-11-08 11:45:17.000,114517000,50.337828333333334,-4.1318166666666665,4.3199999998364547,N ,180,T ,,,-1.7325770647702459,0,A  
2091,2017-11-08 11:46:26.833,833,2017-11-08 11:46:26.833,2017-11-08 11:46:26.834,2017-11-08 11:45:28.000,114528000,50.337600000000002,-4.1318816666666667,4.3746505097763322,N ,189.06601049247507,T ,,,-1.7325691272990194,0,A  
2092,2017-11-08 11:46:36.835,835,2017-11-08 11:46:36.835,2017-11-08 11:46:36.836,2017-11-08 11:45:38.000,114538000,50.337391666666669,-4.1319416666666671,4.3443742036922606,N ,186.07215008382758,T ,,,-1.7325621351704596,0,A  
